r0_learner_name,bias_func,bias_scale,n_real,n_expanded,r_expanded,coverage,avg_me
random_forest,NNBias1,1,1000,10000,0.1,0.09012,11.568789259773657
random_forest,NNBias1,1,1000,10000,0.01,0.08598,11.568435893808077
random_forest,NNBias1,10,100,1000,0.1,0.3673,88.62530179762265
random_forest,NNBias1,1,1000,10000,0.001,0.08646,11.568395032765777
random_forest,NNBias1,10,100,1000,0.01,0.36602,88.62482526530812
random_forest,NNBias1,10,100,10000,0.001,0.36622,88.6247632846974
random_forest,NNBias2,1,1000,1000,0.1,0.07382,13.412395694551167
random_forest,NNBias2,0,100,1000,0.1,0.29296,35.38978394886879
random_forest,NNBias2,0,100,1000,0.001,0.29194,35.38848635524662
random_forest,NNBias2,0,100,1000,0.01,0.29294,35.388619964316604
random_forest,NNBias1,10,1000,1000,0.1,0.11196,28.23911808516746
random_forest,NNBias1,10,1000,1000,0.001,0.10906,28.23744941076902
random_forest,NNBias1,10,1000,1000,0.01,0.10964,28.237630583064377
random_forest,NNBias2,0,1000,1000,0.001,0.07526,11.299342117526933
random_forest,NNBias2,0,1000,1000,0.01,0.07646,11.29975832869259
random_forest,NNBias2,1,100,1000,0.001,0.3169,42.012294398662945
random_forest,NNBias2,1,100,1000,0.1,0.31854,42.01339948567961
random_forest,NNBias2,10,100,1000,0.001,0.17752,223.57443087092255
random_forest,NNBias2,1,100,1000,0.01,0.31712,42.01240869007085
random_forest,NNBias2,0,1000,1000,0.1,0.07552,11.3033821627434
random_forest,NNBias2,0,1000,10000,0.1,0.07542,11.299711023316856
random_forest,NNBias2,10,100,1000,0.01,0.17756,223.5744555870252
random_forest,NNBias2,0,100,10000,0.001,0.2919,35.388474978338955
random_forest,NNBias2,1,1000,1000,0.01,0.07326,13.409308495782863
random_forest,NNBias2,1,1000,1000,0.001,0.07356,13.40895219278449
random_forest,NNBias1,10,100,10000,0.01,0.36608,88.6247690938743
random_forest,NNBias2,10,100,1000,0.1,0.1776,223.57466213530955
random_forest,NNBias1,10,100,10000,0.1,0.36724,88.6248167614777
random_forest,NNBias2,0,100,10000,0.1,0.2931,35.388604804129876
random_forest,NNBias2,0,100,10000,0.01,0.29296,35.38848835631176
random_forest,NNBias1,10,1000,10000,0.01,0.10958,28.237455168663146
random_forest,NNBias1,10,1000,10000,0.1,0.112,28.237603968417424
random_forest,NNBias1,10,1000,10000,0.001,0.10906,28.2374370295274
random_forest,NNBias2,1,100,10000,0.1,0.31848,42.012395141180384
random_forest,NNBias2,1,100,10000,0.001,0.3169,42.01228458099153
random_forest,NNBias2,1,100,10000,0.01,0.31706,42.01229602420726
random_forest,NNBias2,0,1000,10000,0.01,0.07654,11.299348421245574
random_forest,NNBias2,1,1000,10000,0.001,0.07358,13.408921650433763
random_forest,NNBias2,0,1000,10000,0.001,0.07526,11.299306743791869
random_forest,NNBias2,1,1000,10000,0.1,0.07386,13.40926620778381
random_forest,NNBias2,10,100,10000,0.001,0.17752,223.57442895704614
random_forest,NNBias2,1,1000,10000,0.01,0.07324,13.408957326869452
random_forest,NNBias2,10,1000,1000,0.01,0.03958,71.29592545762885
random_forest,NNBias2,10,1000,1000,0.001,0.03958,71.29584841541454
random_forest,NNBias2,10,1000,1000,0.1,0.03924,71.29656930493938
random_forest,NNBias2,10,100,10000,0.01,0.17756,223.57443143161643
random_forest,NNBias2,10,100,10000,0.1,0.1776,223.5744520920873
random_forest,NNBias2,10,1000,10000,0.001,0.03958,71.29584245006112
random_forest,NNBias2,10,1000,10000,0.01,0.03958,71.29585016336316
random_forest,NNBias2,10,1000,10000,0.1,0.03922,71.29591456824122
